Designator,Mid X,Mid Y,Rotation,Layer
C1,38.749,1.845,0.0,top
C10,15.775,24.705,270.0,top
C11,33.555,22.165,0.0,top
C12,36.095,39.945,90.0,top
C13,18.315,42.485,180.0,top
C14,16.255,42.485,0.0,top
C15,15.775,22.645,90.0,top
C16,35.615,22.165,180.0,top
C17,36.095,42.005,270.0,top
C18,35.714,14.3418,0.0,top
C2,13.6414,11.2176,90.0,top
C3,15.9782,9.2364,0.0,top
C5,38.749,9.338,0.0,top
C6,5.552801,11.116,90.0,top
C7,7.915001,9.1348,0.0,top
J3,6.0,28.0,90.0,bottom
J5,44.0,13.0,90.0,bottom
R10,27.806201,7.7166,90.0,top
R11,25.256202,7.7166,90.0,top
R2,15.14,11.2176,270.0,top
R3,38.7488,4.8549,180.0,top
R4,13.089799,7.093601,180.0,top
R6,7.051401,11.116,270.0,top
R7,38.7478,7.853501,180.0,top
R8,5.0045,7.042801,180.0,top
